"Page Title:","Home | University of Illinois Urbana-Champaign"
"Page URL:","https://illinois.edu/"
"Date:","2022-08-29"
"Time:","14:17:25"
"Source:","AInspector 2.1.beta1"


"Rule ID","COLOR 1"
"Summary","Text must exceed CCR threshold"
"Definition","Text content must exceed Color Contrast Ratio (CCR) of 3.1 for large and/or bolded text and 4.5 for any other size or style of text."
"WCAG Success Criteria","Success Criterion 1.4.3 Contrast (Minimum) (Primary)"
"Compliance","WCAG Level AA, Required"
"Rule Scope","element"

"Number of results with"
"Violations","3"
"Warnings","0"
"Manual Checks","0"
"Passed","262"
"Hidden","92"

"Element Results"
"element","result","resultValue","position","role","action","name","name source","color contrast ratio","color","color hex","background color","background color hex","font family","font size","font weight","large font","background image","background repeat","background position","href","tabindex","class","onclick","style","target","id","for","rel","aria-label"
"a","P","2","120","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Blogs","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://blog.admissions.illinois.edu","-1","","","","","","","",""
"a","P","2","122","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Visits","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://admissions.illinois.edu/Visit","-1","","","","","","","",""
"a","P","2","124","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Tuition","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://admissions.illinois.edu/Invest/tuition","-1","","","","","","","",""
"a","P","2","126","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Financial Aid","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://admissions.illinois.edu/Invest/financial-aid","-1","","","","","","","",""
"a","P","2","128","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Request Info","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://admissions.illinois.edu/request-more","-1","","","","","","","",""
"a","P","2","130","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Contact Us","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://admissions.illinois.edu/contact","-1","","","","","","","",""
"a","P","2","132","link","CCR of 8.6 exceeds 3.1 for large or bolded text.","Graduate College","contents","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://grad.illinois.edu/admissions","-1","","","","","","","",""
"a","P","2","135","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Apply","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://grad.illinois.edu/admissions/apply","-1","","","","","","","",""
"a","P","2","137","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Programs & Contacts","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://grad.illinois.edu/program-contacts","-1","","","","","","","",""
"a","P","2","139","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Funding","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://grad.illinois.edu/funding-jobs","-1","","","","","","","",""
"h3","P","2","142","heading","CCR of 7.8 exceeds 4.5.","Related Links : Admissions","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","146","link","CCR of 7.9 exceeds 4.5.","Student Affairs","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://studentaffairs.illinois.edu","","","","","","","","",""
"a","P","2","148","link","CCR of 7.9 exceeds 4.5.","Undergraduate Catalog","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://catalog.illinois.edu/undergraduate/","","","","","","","","",""
"a","P","2","150","link","CCR of 7.9 exceeds 4.5.","Graduate Catalog","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://catalog.illinois.edu/graduate/","","","","","","","","",""
"a","P","2","152","link","CCR of 16.1 exceeds 4.5.","Academics","contents","16.1","rgb(255, 255, 255)","#ffffff","rgb(15, 32, 64)","#0f2040","""ff-meta-serif-web-pro"", Georgia, serif","16","400","no","none","repeat","0% 0%","academics/index.html","","submenu-trigger","","","","","","",""
"span","P","2","162","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"a","P","2","165","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Colleges & Schools""""","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","academics/academics.html","-1","","","","","","","",""
"a","P","2","167","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Programs of Study","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://catalog.illinois.edu/general-information/","-1","","","","","","","",""
"a","P","2","169","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Honors Programs""""","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","academics/honors.html","-1","","","","","","","",""
"a","P","2","171","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Illinois Online","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://online.illinois.edu","-1","","","","","","","",""
"span","P","2","173","generic","CCR of 8.6 exceeds 3.1 for large or bolded text.","","none","8.6","rgb(68, 77, 86)","#444d56","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","","","","","","","","","",""
"a","P","2","176","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Course Explorer","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","https://courses.illinois.edu//","-1","","","","","","","",""
"a","P","2","178","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Register for Class","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://registrar.illinois.edu/online-registration","-1","","","","","","","",""
"a","P","2","180","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Academic Calendar","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://senate.illinois.edu/a_calendar.asp","-1","","","","","","","",""
"a","P","2","182","link","CCR of 11.4 exceeds 3.1 for large or bolded text.","Transcripts","contents","11.4","rgb(38, 59, 84)","#263b54","rgb(255, 255, 255)","#ffffff","""proxima-nova-alt"", sans-serif","17","400","Yes","none","repeat","0% 0%","http://registrar.illinois.edu/transcripts","-1","","","","","","","",""
"h3","P","2","185","heading","CCR of 7.8 exceeds 4.5.","Related Links : Academics","contents","7.8","rgb(68, 77, 86)","#444d56","rgb(244, 244, 242)","#f4f4f2","""proxima-nova-alt"", sans-serif","14","600","no","none","repeat","0% 0%","","","submenu-group-header related","","","","","","",""
"a","P","2","189","link","CCR of 7.9 exceeds 4.5.","Provost","contents","7.9","rgb(54, 61, 68)","#363d44","rgb(218, 218, 217)","#dadad9","""proxima-nova-alt"", sans-serif","13","600","no","none","repeat","0% 0%","http://provost.illinois.edu","","","","","","","","",""
